Wavelength (nm)	B02 abs e
220.00	16263
220.25	15634
220.50	15330
220.75	14969
221.00	14468
221.25	14034
221.50	13687
221.75	13507
222.00	12976
222.25	12629
222.50	12379
222.75	11956
223.00	11663
223.25	11319
223.50	10996
223.75	10604
224.00	10236
224.25	10064
224.50	9655.5
224.75	9417.2
225.00	9155.8
225.25	8727.1
225.50	8454.3
225.75	8144.7
226.00	7888.6
226.25	7685.7
226.50	7433.5
226.75	7160.2
227.00	6991.6
227.25	6659.3
227.50	6441.3
227.75	6279.0
228.00	6088.9
228.25	5838.2
228.50	5621.7
228.75	5371.3
229.00	5243.7
229.25	5040.3
229.50	4936.0
229.75	4771.6
230.00	4698.0
230.25	4577.9
230.50	4484.6
230.75	4394.6
231.00	4196.2
231.25	4158.6
231.50	4160.8
231.75	4077.0
232.00	4044.5
232.25	3981.5
232.50	3899.5
232.75	3883.6
233.00	3958.5
233.25	3872.9
233.50	3862.4
233.75	3907.5
234.00	3848.1
234.25	3917.0
234.50	3924.9
234.75	3935.5
235.00	3978.8
235.25	3992.4
235.50	4076.7
235.75	4139.7
236.00	4197.6
236.25	4230.2
236.50	4364.0
236.75	4433.5
237.00	4501.2
237.25	4555.8
237.50	4679.2
237.75	4741.6
238.00	4893.5
238.25	4983.5
238.50	5100.4
238.75	5142.8
239.00	5238.2
239.25	5420.2
239.50	5538.2
239.75	5649.1
240.00	5804.9
240.25	5938.7
240.50	6092.1
240.75	6221.4
241.00	6330.2
241.25	6493.5
241.50	6617.8
241.75	6781.3
242.00	6912.1
242.25	7140.2
242.50	7288.9
242.75	7492.9
243.00	7674.7
243.25	7815.9
243.50	8030.3
243.75	8177.5
244.00	8335.4
244.25	8568.6
244.50	8674.1
244.75	8911.2
245.00	9131.0
245.25	9261.5
245.50	9608.1
245.75	9752.6
246.00	9911.1
246.25	10198
246.50	10460
246.75	10583
247.00	10808
247.25	11036
247.50	11249
247.75	11520
248.00	11750
248.25	12014
248.50	12227
248.75	12453
249.00	12724
249.25	13006
249.50	13206
249.75	13514
250.00	13728
250.25	13959
250.50	14252
250.75	14471
251.00	14816
251.25	14970
251.50	15310
251.75	15643
252.00	15886
252.25	16131
252.50	16399
252.75	16651
253.00	16945
253.25	17287
253.50	17495
253.75	17739
254.00	18061
254.25	18242
254.50	18390
254.75	18585
255.00	18848
255.25	19243
255.50	19421
255.75	19709
256.00	19983
256.25	20344
256.50	20623
256.75	20857
257.00	21177
257.25	21423
257.50	21676
257.75	22031
258.00	22319
258.25	22578
258.50	22841
258.75	23147
259.00	23477
259.25	23759
259.50	23923
259.75	24253
260.00	24540
260.25	24867
260.50	25146
260.75	25295
261.00	25558
261.25	25888
261.50	26224
261.75	26385
262.00	26610
262.25	26914
262.50	27218
262.75	27417
263.00	27688
263.25	27962
263.50	28197
263.75	28388
264.00	28581
264.25	28779
264.50	29023
264.75	29342
265.00	29452
265.25	29621
265.50	29833
265.75	30050
266.00	30293
266.25	30404
266.50	30593
266.75	30797
267.00	30944
267.25	31088
267.50	31289
267.75	31525
268.00	31662
268.25	31742
268.50	31906
268.75	32061
269.00	32060
269.25	32314
269.50	32544
269.75	32600
270.00	32647
270.25	32808
270.50	32902
270.75	32972
271.00	33090
271.25	33101
271.50	33134
271.75	33373
272.00	33350
272.25	33296
272.50	33439
272.75	33445
273.00	33500
273.25	33589
273.50	33575
273.75	33588
274.00	33595
274.25	33694
274.50	33700
274.75	33746
275.00	33724
275.25	33710
275.50	33754
275.75	33730
276.00	33760
276.25	33800
276.50	33702
276.75	33677
277.00	33636
277.25	33687
277.50	33528
277.75	33612
278.00	33557
278.25	33441
278.50	33266
278.75	33301
279.00	33207
279.25	33084
279.50	33001
279.75	33068
280.00	32889
280.25	32850
280.50	32706
280.75	32504
281.00	32531
281.25	32377
281.50	32285
281.75	32158
282.00	31937
282.25	31861
282.50	31579
282.75	31514
283.00	31348
283.25	31222
283.50	31045
283.75	30946
284.00	30716
284.25	30481
284.50	30321
284.75	30142
285.00	29970
285.25	29741
285.50	29547
285.75	29312
286.00	29146
286.25	28831
286.50	28611
286.75	28382
287.00	28047
287.25	28002
287.50	27622
287.75	27266
288.00	27129
288.25	26802
288.50	26513
288.75	26391
289.00	26076
289.25	25798
289.50	25453
289.75	25199
290.00	24960
290.25	24573
290.50	24301
290.75	24065
291.00	23741
291.25	23458
291.50	23074
291.75	22839
292.00	22500
292.25	22178
292.50	21851
292.75	21520
293.00	21240
293.25	20964
293.50	20686
293.75	20400
294.00	20147
294.25	19836
294.50	19713
294.75	19438
295.00	19052
295.25	18792
295.50	18342
295.75	18049
296.00	17704
296.25	17422
296.50	17097
296.75	16784
297.00	16461
297.25	16168
297.50	15796
297.75	15487
298.00	15182
298.25	14847
298.50	14506
298.75	14170
299.00	13868
299.25	13539
299.50	13183
299.75	12984
300.00	12662
300.25	12309
300.50	12000
300.75	11738
301.00	11468
301.25	11217
301.50	10829
301.75	10588
302.00	10379
302.25	9992.9
302.50	9740.4
302.75	9505.7
303.00	9206.8
303.25	9005.5
303.50	8739.6
303.75	8461.4
304.00	8239.6
304.25	8000.1
304.50	7781.3
304.75	7547.8
305.00	7326.8
305.25	7014.5
305.50	6876.8
305.75	6656.5
306.00	6433.7
306.25	6175.5
