Wavelength (nm)	B02 ems
300.00	0.011362
300.50	0.012269
301.00	0.013524
301.50	0.014249
302.00	0.015235
302.50	0.016768
303.00	0.018096
303.50	0.019623
304.00	0.021136
304.50	0.023044
305.00	0.025257
305.50	0.027033
306.00	0.030931
306.50	0.034322
307.00	0.040020
307.50	0.043998
308.00	0.051391
308.50	0.057994
309.00	0.067668
309.50	0.074153
310.00	0.086219
310.50	0.098326
311.00	0.11601
311.50	0.12911
312.00	0.15042
312.50	0.17015
313.00	0.19771
313.50	0.21860
314.00	0.25165
314.50	0.28001
315.00	0.32033
315.50	0.34806
316.00	0.39244
316.50	0.43528
317.00	0.48362
317.50	0.51530
318.00	0.56112
318.50	0.59683
319.00	0.64083
319.50	0.66894
320.00	0.70356
320.50	0.73418
321.00	0.76538
321.50	0.78377
322.00	0.80471
322.50	0.81630
323.00	0.82267
323.50	0.82260
324.00	0.81844
324.50	0.81171
325.00	0.79926
325.50	0.79303
326.00	0.77887
326.50	0.76778
327.00	0.76073
327.50	0.75495
328.00	0.74959
328.50	0.74882
329.00	0.75139
329.50	0.75598
330.00	0.76533
330.50	0.77651
331.00	0.79604
331.50	0.81158
332.00	0.83447
332.50	0.85539
333.00	0.87889
333.50	0.89723
334.00	0.91956
334.50	0.93846
335.00	0.95992
335.50	0.97141
336.00	0.98584
336.50	0.99382
337.00	0.99778
337.50	1.0000
338.00	0.99805
338.50	0.99262
339.00	0.98317
339.50	0.97258
340.00	0.95790
340.50	0.93979
341.00	0.92005
341.50	0.90448
342.00	0.88525
342.50	0.86500
343.00	0.84022
343.50	0.82677
344.00	0.80800
344.50	0.79451
345.00	0.77948
345.50	0.76577
346.00	0.75544
346.50	0.74523
347.00	0.73496
347.50	0.73030
348.00	0.72410
348.50	0.72091
349.00	0.71683
349.50	0.71618
350.00	0.71499
350.50	0.71261
351.00	0.71168
351.50	0.70975
352.00	0.70587
352.50	0.70576
353.00	0.70277
353.50	0.69691
354.00	0.69365
354.50	0.68824
355.00	0.67934
355.50	0.67129
356.00	0.65946
356.50	0.64918
357.00	0.63483
357.50	0.62333
358.00	0.61016
358.50	0.59521
359.00	0.57972
359.50	0.56580
360.00	0.54867
360.50	0.53349
361.00	0.51524
361.50	0.50354
362.00	0.48629
362.50	0.47251
363.00	0.45603
363.50	0.44457
364.00	0.42949
364.50	0.41849
365.00	0.40578
365.50	0.39870
366.00	0.38894
366.50	0.38069
367.00	0.37206
367.50	0.36594
368.00	0.35898
368.50	0.35171
369.00	0.34571
369.50	0.34016
370.00	0.33425
370.50	0.32969
371.00	0.32237
371.50	0.31896
372.00	0.31337
372.50	0.30695
373.00	0.30126
373.50	0.29637
374.00	0.29055
374.50	0.28525
375.00	0.27871
375.50	0.27325
376.00	0.26820
376.50	0.26197
377.00	0.25538
377.50	0.25112
378.00	0.24391
378.50	0.23838
379.00	0.23162
379.50	0.22682
380.00	0.21927
380.50	0.21258
381.00	0.20495
381.50	0.19939
382.00	0.19187
382.50	0.18607
383.00	0.17892
383.50	0.17367
384.00	0.16739
384.50	0.16129
385.00	0.15576
385.50	0.15194
386.00	0.14709
386.50	0.14262
387.00	0.13844
387.50	0.13498
388.00	0.13102
388.50	0.12754
389.00	0.12485
389.50	0.12229
390.00	0.11903
390.50	0.11591
391.00	0.11306
391.50	0.11049
392.00	0.10786
392.50	0.10550
393.00	0.10266
393.50	0.10030
394.00	0.097982
394.50	0.095620
395.00	0.092850
