Wavelength (nm)	B10 abs N
200.00	0.71201
201.00	0.69451
202.00	0.66835
203.00	0.62839
204.00	0.58637
205.00	0.53509
206.00	0.48480
207.00	0.43779
208.00	0.39111
209.00	0.34832
210.00	0.31163
211.00	0.28645
212.00	0.27113
213.00	0.26487
214.00	0.26482
215.00	0.26937
216.00	0.27657
217.00	0.28488
218.00	0.29376
219.00	0.30219
220.00	0.31039
221.00	0.31806
222.00	0.32454
223.00	0.33017
224.00	0.33520
225.00	0.33902
226.00	0.34239
227.00	0.34540
228.00	0.34813
229.00	0.34983
230.00	0.34988
231.00	0.34820
232.00	0.34573
233.00	0.34245
234.00	0.33649
235.00	0.32589
236.00	0.31080
237.00	0.29357
238.00	0.27754
239.00	0.26673
240.00	0.26172
241.00	0.25771
242.00	0.24526
243.00	0.21761
244.00	0.17958
245.00	0.14262
246.00	0.11614
247.00	0.099999
248.00	0.089700
249.00	0.081817
250.00	0.077241
251.00	0.076277
252.00	0.077973
253.00	0.081305
254.00	0.085270
255.00	0.089712
256.00	0.094520
257.00	0.099071
258.00	0.10381
259.00	0.10863
260.00	0.11320
261.00	0.11778
262.00	0.12198
263.00	0.12592
264.00	0.12953
265.00	0.13275
266.00	0.13584
267.00	0.13905
268.00	0.14227
269.00	0.14559
270.00	0.14904
271.00	0.15229
272.00	0.15535
273.00	0.15797
274.00	0.16049
275.00	0.16280
276.00	0.16510
277.00	0.16764
278.00	0.17049
279.00	0.17380
280.00	0.17734
281.00	0.18119
282.00	0.18456
283.00	0.18804
284.00	0.19135
285.00	0.19321
286.00	0.19409
287.00	0.19464
288.00	0.19523
289.00	0.19582
290.00	0.19726
291.00	0.19861
292.00	0.20056
293.00	0.20201
294.00	0.20363
295.00	0.20492
296.00	0.20596
297.00	0.20638
298.00	0.20705
299.00	0.20805
300.00	0.20838
301.00	0.20875
302.00	0.20958
303.00	0.21063
304.00	0.21139
305.00	0.21224
306.00	0.21552
307.00	0.22153
308.00	0.23049
309.00	0.24144
310.00	0.25419
311.00	0.26773
312.00	0.28022
313.00	0.29080
314.00	0.30074
315.00	0.31181
316.00	0.32521
317.00	0.34067
318.00	0.35832
319.00	0.37759
320.00	0.39792
321.00	0.41986
322.00	0.44152
323.00	0.46329
324.00	0.48407
325.00	0.50359
326.00	0.52213
327.00	0.53991
328.00	0.55710
329.00	0.57473
330.00	0.59306
331.00	0.61202
332.00	0.63182
333.00	0.65387
334.00	0.67767
335.00	0.70352
336.00	0.73081
337.00	0.75917
338.00	0.78697
339.00	0.81300
340.00	0.83463
341.00	0.85063
342.00	0.86099
343.00	0.86503
344.00	0.86471
345.00	0.86272
346.00	0.86077
347.00	0.86007
348.00	0.86103
349.00	0.86422
350.00	0.87076
351.00	0.88007
352.00	0.89298
353.00	0.91026
354.00	0.93052
355.00	0.95259
356.00	0.97289
357.00	0.98969
358.00	0.99799
359.00	1.0000
360.00	0.99315
361.00	0.97056
362.00	0.93297
363.00	0.88331
364.00	0.82773
365.00	0.77776
366.00	0.73350
367.00	0.69880
368.00	0.67010
369.00	0.64706
370.00	0.62933
371.00	0.61625
372.00	0.60961
373.00	0.60653
374.00	0.60810
375.00	0.61283
376.00	0.61920
377.00	0.62399
378.00	0.62491
379.00	0.61974
380.00	0.60386
381.00	0.57577
382.00	0.53414
383.00	0.48192
384.00	0.41726
385.00	0.34757
386.00	0.27629
387.00	0.20767
388.00	0.15039
389.00	0.10539
390.00	0.070668
391.00	0.045048
392.00	0.028410
393.00	0.018294
394.00	0.011640
395.00	0.0071994
396.00	0.0045027
397.00	0.0034447
398.00	0.0032251
399.00	0.0028578
400.00	0.0014285
401.00	0.0013929
402.00	0.0013903
403.00	0.0013716
404.00	0.0013838
405.00	0.0014121
406.00	0.0014029
407.00	0.0017059
408.00	0.0021476
409.00	0.0020610
410.00	0.0020634
411.00	0.0012605
412.00	0.0017125
413.00	0.0013304
414.00	0.0013292
415.00	0.0012579
416.00	0.0013964
417.00	0.0017596
418.00	0.0014521
419.00	0.00059792
420.00	0.00075411
421.00	0.00094691
422.00	0.0015753
423.00	0.00048566
424.00	0.00068456
425.00	0.00050884
426.00	0.0018564
427.00	0.00059548
428.00	0.0013479
429.00	0.0013434
430.00	0.0018865
431.00	0.0018047
432.00	0.0017474
433.00	0.0018792
434.00	0.00090420
435.00	0.00096277
436.00	0.0015652
437.00	0.0010213
438.00	0.00095667
439.00	0.0016461
440.00	0.0014435
441.00	0.0016241
442.00	0.0015158
443.00	0.0016920
444.00	0.0017304
445.00	0.0016966
446.00	0.0017255
447.00	0.0017347
448.00	0.0017078
449.00	0.0028039
450.00	0.0016970
