Wavelength (nm)	B10 ems
350.00	0.0019432
350.50	0.0020200
351.00	0.0017320
351.50	0.0022233
352.00	0.0018122
352.50	0.0018393
353.00	0.0023250
353.50	0.0022674
354.00	0.0024025
354.50	0.0024159
355.00	0.0020704
355.50	0.0016811
356.00	0.0015079
356.50	0.0013935
357.00	0.0012290
357.50	0.00093797
358.00	0.00090792
358.50	0.00075840
359.00	0.00070864
359.50	0.00056045
360.00	0.00035080
360.50	0.00059020
361.00	0.00049035
361.50	0.00062515
362.00	0.00065858
362.50	0.0010761
363.00	0.0014096
363.50	0.0019520
364.00	0.0021304
364.50	0.0031327
365.00	0.0037152
365.50	0.0048754
366.00	0.0058333
366.50	0.0073914
367.00	0.0087057
367.50	0.011328
368.00	0.012985
368.50	0.015835
369.00	0.018358
369.50	0.023440
370.00	0.026790
370.50	0.032889
371.00	0.037613
371.50	0.047606
372.00	0.054009
372.50	0.065678
373.00	0.075162
373.50	0.093894
374.00	0.10380
374.50	0.12646
375.00	0.14325
375.50	0.17681
376.00	0.19562
376.50	0.23634
377.00	0.26485
377.50	0.31818
378.00	0.34939
378.50	0.40855
379.00	0.44792
379.50	0.52388
380.00	0.56240
380.50	0.62856
381.00	0.67270
381.50	0.74508
382.00	0.77550
382.50	0.82538
383.00	0.85233
383.50	0.88152
384.00	0.88576
384.50	0.88659
385.00	0.87756
385.50	0.84902
386.00	0.83329
386.50	0.79364
387.00	0.76577
387.50	0.70758
388.00	0.68404
388.50	0.63581
389.00	0.60572
389.50	0.55962
390.00	0.53986
390.50	0.50709
391.00	0.48790
391.50	0.46584
392.00	0.45633
392.50	0.44810
393.00	0.44528
393.50	0.45081
394.00	0.45680
394.50	0.46888
395.00	0.48291
395.50	0.50810
396.00	0.52394
396.50	0.55021
397.00	0.57070
397.50	0.60715
398.00	0.62823
398.50	0.66305
399.00	0.68796
399.50	0.72482
400.00	0.74297
400.50	0.77654
401.00	0.79560
401.50	0.83011
402.00	0.84531
402.50	0.87161
403.00	0.88785
403.50	0.91498
404.00	0.92513
404.50	0.94765
405.00	0.95840
405.50	0.97759
406.00	0.98562
406.50	0.99725
407.00	0.99972
407.50	1.0000
408.00	0.99337
408.50	0.98226
409.00	0.97109
409.50	0.94473
410.00	0.92650
410.50	0.89480
411.00	0.87060
411.50	0.82738
412.00	0.80853
412.50	0.77091
413.00	0.74425
413.50	0.70659
414.00	0.68472
414.50	0.65418
415.00	0.63156
415.50	0.59929
416.00	0.58576
416.50	0.56305
417.00	0.54853
417.50	0.53287
418.00	0.52375
418.50	0.51455
419.00	0.50955
419.50	0.50301
420.00	0.50048
420.50	0.50200
421.00	0.50244
421.50	0.50635
422.00	0.50751
422.50	0.51448
423.00	0.51841
423.50	0.52768
424.00	0.53247
424.50	0.54320
425.00	0.55015
425.50	0.55924
426.00	0.56227
426.50	0.57057
427.00	0.57418
427.50	0.58004
428.00	0.58284
428.50	0.58715
429.00	0.58889
429.50	0.59005
430.00	0.58873
430.50	0.58651
431.00	0.58541
431.50	0.58048
432.00	0.57878
432.50	0.57225
433.00	0.56692
433.50	0.55807
434.00	0.55278
434.50	0.54239
435.00	0.53613
435.50	0.52415
436.00	0.51781
436.50	0.50549
437.00	0.49535
437.50	0.48085
438.00	0.47413
438.50	0.45909
439.00	0.44784
439.50	0.43180
440.00	0.42228
440.50	0.40738
441.00	0.39661
441.50	0.38172
442.00	0.37278
442.50	0.35780
443.00	0.34932
443.50	0.33474
444.00	0.32850
444.50	0.31636
445.00	0.30882
445.50	0.29704
446.00	0.29172
446.50	0.28378
447.00	0.27905
447.50	0.27004
448.00	0.26671
448.50	0.26045
449.00	0.25703
449.50	0.25208
450.00	0.24932
450.50	0.24647
451.00	0.24397
451.50	0.24028
452.00	0.23938
452.50	0.23833
453.00	0.23704
453.50	0.23669
454.00	0.23511
454.50	0.23379
455.00	0.23376
455.50	0.23164
456.00	0.23022
456.50	0.22981
457.00	0.22893
457.50	0.22708
458.00	0.22649
458.50	0.22245
459.00	0.22213
459.50	0.21983
460.00	0.21591
460.50	0.21375
461.00	0.21165
461.50	0.20926
462.00	0.20632
462.50	0.20296
463.00	0.20021
463.50	0.19624
464.00	0.19364
464.50	0.18907
465.00	0.18678
465.50	0.18221
466.00	0.17962
466.50	0.17552
467.00	0.17257
467.50	0.16686
468.00	0.16505
468.50	0.16070
469.00	0.15732
469.50	0.15212
470.00	0.14917
470.50	0.14521
471.00	0.14200
471.50	0.13632
472.00	0.13430
472.50	0.12932
473.00	0.12576
473.50	0.12134
474.00	0.11806
474.50	0.11360
475.00	0.11142
475.50	0.10583
476.00	0.10313
476.50	0.099808
477.00	0.097810
477.50	0.092692
478.00	0.090894
478.50	0.087073
479.00	0.084924
479.50	0.081211
480.00	0.080186
480.50	0.077101
481.00	0.075638
481.50	0.072776
482.00	0.071631
482.50	0.069725
483.00	0.068666
483.50	0.066305
484.00	0.065230
484.50	0.064168
485.00	0.062890
485.50	0.061212
486.00	0.060585
486.50	0.059790
487.00	0.058967
487.50	0.057373
488.00	0.056947
488.50	0.056126
489.00	0.055328
489.50	0.054185
490.00	0.053638
490.50	0.052602
491.00	0.052271
491.50	0.050897
492.00	0.050726
492.50	0.049404
493.00	0.048507
493.50	0.047760
494.00	0.047113
494.50	0.045814
495.00	0.045337
495.50	0.044031
496.00	0.043893
496.50	0.042325
497.00	0.041793
497.50	0.040608
498.00	0.039446
498.50	0.038642
499.00	0.037740
499.50	0.036298
500.00	0.035494
