Wavelength (nm)	N01 abs e
219.75	29439
220.00	29367
220.25	29446
220.50	29278
220.75	29248
221.00	29282
221.25	29139
221.50	28913
221.75	28622
222.00	28896
222.25	28839
222.50	28722
222.75	28947
223.00	28615
223.25	28605
223.50	28450
223.75	28800
224.00	28698
224.25	28459
224.50	28371
224.75	28281
225.00	28338
225.25	28537
225.50	28623
225.75	28599
226.00	28675
226.25	28728
226.50	28697
226.75	28884
227.00	29031
227.25	29084
227.50	29143
227.75	29170
228.00	29236
228.25	29408
228.50	29772
228.75	29848
229.00	29942
229.25	30031
229.50	30230
229.75	30458
230.00	30713
230.25	30775
230.50	30919
230.75	31077
231.00	31333
231.25	31209
231.50	31686
231.75	31872
232.00	32141
232.25	32277
232.50	32549
232.75	32767
233.00	32952
233.25	33393
233.50	33731
233.75	34001
234.00	34088
234.25	34449
234.50	34883
234.75	35284
235.00	35598
235.25	36096
235.50	36822
235.75	37091
236.00	37731
236.25	38104
236.50	38503
236.75	38965
237.00	39306
237.25	39734
237.50	40020
237.75	40247
238.00	40391
238.25	40806
238.50	40852
238.75	41123
239.00	41182
239.25	41621
239.50	41561
239.75	41752
240.00	41549
240.25	41594
240.50	41665
240.75	41556
241.00	41603
241.25	41444
241.50	41325
241.75	41082
242.00	41048
242.25	40717
242.50	40575
242.75	40189
243.00	39981
243.25	39827
243.50	39485
243.75	39117
244.00	38703
244.25	38290
244.50	37882
244.75	37226
245.00	36715
245.25	36297
245.50	35684
245.75	35148
246.00	34397
246.25	33674
246.50	32901
246.75	32317
247.00	31425
247.25	30720
247.50	29843
247.75	29300
248.00	28483
248.25	27497
248.50	26682
248.75	26088
249.00	25294
249.25	24472
249.50	23757
249.75	23205
250.00	22479
250.25	21987
250.50	21316
250.75	20803
251.00	20342
251.25	19837
251.50	19208
251.75	18926
252.00	18535
252.25	18201
252.50	17841
252.75	17484
253.00	17157
253.25	16939
253.50	16786
253.75	16513
254.00	16317
254.25	16047
254.50	15791
254.75	15746
255.00	15653
255.25	15589
255.50	15457
255.75	15472
256.00	15286
256.25	15120
256.50	15129
256.75	15049
257.00	14966
257.25	14936
257.50	14819
257.75	14776
258.00	14760
258.25	14632
258.50	14698
258.75	14673
259.00	14656
259.25	14591
259.50	14574
259.75	14560
260.00	14519
260.25	14395
260.50	14387
260.75	14359
261.00	14283
261.25	14309
261.50	14228
261.75	14336
262.00	14290
262.25	14220
262.50	14189
262.75	14134
263.00	14077
263.25	13989
263.50	13860
263.75	13868
264.00	13843
264.25	13726
264.50	13574
264.75	13613
265.00	13471
265.25	13345
265.50	13250
265.75	13101
266.00	13077
266.25	13018
266.50	12898
266.75	12857
267.00	12636
267.25	12701
267.50	12517
267.75	12394
268.00	12435
268.25	12322
268.50	12164
268.75	12161
269.00	12057
269.25	12044
269.50	11918
269.75	11831
270.00	11785
270.25	11618
270.50	11489
270.75	11447
271.00	11483
271.25	11335
271.50	11329
271.75	11248
272.00	11187
272.25	11162
272.50	11134
272.75	11133
273.00	10979
273.25	10995
273.50	11010
273.75	10920
274.00	10849
274.25	10794
274.50	10894
274.75	10746
275.00	10714
275.25	10707
275.50	10577
275.75	10731
276.00	10641
276.25	10651
276.50	10595
276.75	10607
277.00	10599
277.25	10701
277.50	10732
277.75	10620
278.00	10738
278.25	10791
278.50	10692
278.75	10739
279.00	10820
279.25	10872
279.50	11022
279.75	10831
280.00	10846
280.25	10948
280.50	10867
280.75	10953
281.00	11134
281.25	11072
281.50	11106
281.75	11174
282.00	11167
282.25	11266
282.50	11242
282.75	11391
283.00	11473
283.25	11398
283.50	11527
283.75	11658
284.00	11742
284.25	11719
284.50	11661
284.75	11752
285.00	11887
285.25	11847
285.50	11909
285.75	12057
286.00	12126
286.25	12187
286.50	12173
286.75	12244
287.00	12298
287.25	12283
287.50	12400
287.75	12485
288.00	12638
288.25	12549
288.50	12658
288.75	12521
289.00	12684
289.25	12705
289.50	12724
289.75	12832
290.00	12736
290.25	12701
290.50	12759
290.75	12766
291.00	12827
291.25	12806
291.50	12873
291.75	12818
292.00	12787
292.25	12779
292.50	12854
292.75	12741
293.00	12658
293.25	12555
293.50	12481
293.75	12392
294.00	12456
294.25	12382
294.50	12130
294.75	12143
295.00	12206
295.25	12109
295.50	11940
295.75	12006
296.00	11880
296.25	11893
296.50	11759
296.75	11686
297.00	11607
297.25	11564
297.50	11453
297.75	11414
298.00	11398
298.25	11240
298.50	11039
298.75	10896
299.00	10756
299.25	10815
299.50	10767
299.75	10501
300.00	10458
300.25	10383
300.50	10245
300.75	10122
301.00	10043
301.25	9923.4
301.50	9896.7
301.75	9644.3
302.00	9608.5
302.25	9443.7
302.50	9550.5
302.75	9382.7
303.00	9124.2
303.25	9115.6
303.50	9005.2
303.75	9024.9
304.00	8798.1
304.25	8711.4
304.50	8598.0
304.75	8424.2
305.00	8375.8
305.25	8235.7
305.50	8160.6
305.75	8207.0
306.00	7959.0
306.25	7846.6
306.50	7851.7
306.75	7785.2
307.00	7606.2
307.25	7514.5
307.50	7479.2
307.75	7470.7
308.00	7308.4
308.25	7326.5
308.50	7267.6
308.75	7143.6
309.00	7044.8
309.25	7084.6
309.50	6962.2
309.75	7292.3
310.00	7043.3
310.25	6956.1
310.50	6887.6
310.75	6728.9
311.00	6545.9
311.25	6617.5
311.50	6706.2
311.75	6648.2
312.00	6931.4
312.25	7065.5
312.50	6778.7
312.75	7126.0
313.00	6470.3
313.25	6850.8
313.50	6630.1
313.75	6751.5
314.00	6251.1
314.25	6753.0
314.50	6593.8
314.75	6933.0
315.00	6807.0
315.25	6563.6
315.50	6992.9
315.75	6777.7
316.00	7134.5
316.25	7175.4
316.50	7204.1
316.75	7343.2
317.00	7098.8
317.25	7391.6
317.50	7434.9
317.75	7265.6
318.00	7235.8
318.25	7583.1
318.50	7851.2
318.75	7555.8
319.00	7635.0
319.25	7533.2
319.50	7878.4
319.75	8037.6
320.00	7858.7
320.25	8166.6
320.50	8298.2
320.75	8611.6
321.00	8605.6
321.25	8725.0
321.50	8414.6
321.75	8903.4
322.00	8549.2
322.25	8908.0
322.50	8953.3
322.75	8799.6
323.00	9085.9
323.25	8906.5
323.50	8769.9
323.75	9050.6
324.00	9023.9
324.25	8692.3
324.50	8660.0
324.75	8786.5
325.00	8767.4
325.25	8794.6
325.50	8641.9
325.75	8843.5
326.00	8673.6
326.25	8664.1
326.50	8548.6
326.75	8611.1
327.00	8558.7
327.25	8135.4
327.50	7974.6
327.75	8047.7
328.00	8142.0
328.25	8264.9
328.50	7871.3
328.75	7698.0
329.00	7445.0
329.25	7779.6
329.50	7540.2
329.75	7111.9
330.00	7257.5
330.25	7353.3
330.50	7235.8
330.75	6921.9
331.00	6675.4
331.25	6787.3
331.50	6976.8
331.75	6553.5
332.00	6586.7
332.25	6311.1
332.50	6517.2
332.75	6361.0
333.00	5859.0
333.25	5902.4
333.50	5684.1
333.75	5624.7
334.00	5955.3
334.25	5483.6
334.50	5338.9
334.75	5244.2
335.00	5343.0
335.25	5075.9
335.50	4924.2
335.75	5022.5
336.00	5227.6
336.25	4829.9
336.50	4906.0
336.75	4633.4
337.00	4830.4
337.25	4684.8
337.50	4296.2
337.75	4353.2
338.00	4096.7
338.25	4414.7
338.50	4149.1
338.75	3936.4
339.00	4117.3
339.25	4090.6
339.50	3662.8
339.75	3862.8
340.00	3580.1
340.25	3616.9
340.50	3492.4
340.75	3551.9
341.00	3487.4
341.25	3331.2
341.50	3555.9
341.75	3295.4
342.00	3191.6
342.25	3315.0
342.50	3050.5
342.75	3065.6
343.00	2970.3
343.25	2994.0
343.50	3064.6
343.75	2743.6
344.00	2869.0
344.25	2673.0
344.50	2607.5
344.75	2934.0
345.00	2721.9
345.25	2665.4
345.50	2530.9
345.75	2709.3
346.00	2429.6
346.25	2502.7
346.50	2432.1
346.75	2532.9
347.00	2538.9
347.25	2580.3
347.50	2462.3
347.75	2432.6
348.00	2427.6
348.25	2345.9
348.50	2383.7
348.75	2344.4
349.00	2258.2
349.25	2331.8
349.50	2301.1
349.75	2361.0
350.00	2332.8
350.25	2385.7
350.50	2240.6
350.75	1968.5
351.00	2206.8
351.25	2249.2
351.50	2233.0
351.75	2148.9
352.00	2058.2
352.25	1962.9
352.50	2099.5
352.75	2274.4
353.00	2190.2
353.25	2174.6
353.50	2187.2
353.75	2250.2
354.00	1998.2
354.25	1982.1
354.50	2210.4
354.75	1959.9
355.00	2104.5
355.25	2137.8
355.50	2047.1
355.75	1851.5
356.00	2163.5
356.25	2165.0
356.50	1974.0
356.75	1956.9
357.00	2035.5
357.25	2029.4
357.50	2055.6
357.75	2011.8
358.00	2135.8
358.25	1982.1
358.50	2138.3
358.75	1959.9
359.00	2003.2
359.25	2003.7
359.50	2004.2
359.75	2117.1
360.00	1955.9
360.25	1949.3
360.50	2111.1
360.75	2031.5
361.00	1831.9
361.25	1990.1
361.50	2005.3
361.75	1988.1
362.00	1912.5
362.25	2167.5
362.50	1905.5
362.75	1945.8
363.00	1992.1
363.25	1902.9
363.50	1800.6
363.75	1884.8
364.00	1963.4
364.25	1885.8
364.50	2000.7
364.75	2059.2
365.00	2018.9
365.25	1862.1
365.50	1988.6
365.75	2011.8
366.00	1908.0
366.25	2056.7
366.50	1824.8
366.75	1980.6
367.00	1909.5
367.25	1987.1
367.50	1827.9
367.75	1825.8
368.00	2088.9
368.25	2025.9
368.50	1897.9
368.75	1833.4
369.00	1958.9
369.25	1963.9
369.50	2051.6
369.75	1849.0
370.00	2072.3
370.25	1929.2
370.50	1977.0
370.75	1922.1
371.00	1824.8
371.25	2006.3
371.50	2032.0
371.75	2103.5
372.00	1889.3
372.25	2005.3
372.50	1969.0
372.75	2014.8
373.00	1990.1
373.25	1990.1
373.50	1989.6
373.75	1970.0
374.00	2032.0
374.25	1943.3
374.50	1843.0
374.75	1958.9
375.00	1896.9
375.25	2205.3
375.50	1848.5
375.75	1856.1
376.00	1806.2
376.25	1913.0
376.50	2149.4
376.75	2113.6
377.00	2022.9
377.25	1923.1
377.50	1952.8
377.75	1879.8
378.00	1794.1
378.25	1933.2
378.50	2022.9
378.75	1803.2
379.00	2096.5
379.25	2119.6
379.50	1953.3
379.75	1897.9
380.00	1988.1
380.25	1984.1
380.50	2010.8
380.75	1991.1
381.00	1943.8
381.25	1840.0
381.50	2008.3
381.75	1902.9
382.00	1804.2
382.25	1836.9
382.50	1750.2
382.75	1649.0
383.00	1869.7
383.25	1876.2
383.50	1883.8
383.75	1796.1
384.00	1821.8
384.25	1790.1
384.50	1743.7
384.75	1796.6
385.00	1740.7
385.25	1697.8
385.50	1620.7
385.75	1791.1
386.00	1817.3
386.25	1698.3
386.50	1756.8
386.75	1742.2
387.00	1580.9
387.25	1583.4
387.50	1614.7
387.75	1625.8
388.00	1626.8
388.25	1524.0
388.50	1586.0
388.75	1543.6
389.00	1645.9
389.25	1641.4
389.50	1597.5
389.75	1593.5
390.00	1619.7
390.25	1499.8
390.50	1567.8
390.75	1555.2
391.00	1526.5
391.25	1569.3
391.50	1703.9
391.75	1389.4
392.00	1462.0
392.25	1354.6
392.50	1531.0
392.75	1552.2
393.00	1387.9
393.25	1519.4
393.50	1411.6
393.75	1500.3
394.00	1504.3
394.25	1464.5
394.50	1391.4
394.75	1407.1
395.00	1538.1
395.25	1482.1
395.50	1629.3
395.75	1497.8
396.00	1436.3
396.25	1493.2
396.50	1417.1
396.75	1534.6
397.00	1515.9
397.25	1390.4
397.50	1514.9
397.75	1427.2
398.00	1387.9
398.25	1368.2
398.50	1386.4
398.75	1427.7
399.00	1310.3
399.25	1354.1
399.50	1446.9
399.75	1475.1
400.00	1392.4
400.25	1328.9
400.50	1413.6
400.75	1429.7
401.00	1481.6
401.25	1484.2
401.50	1329.4
401.75	1335.5
402.00	1504.3
402.25	1416.1
402.50	1536.1
402.75	1378.8
403.00	1332.5
403.25	1373.3
403.50	1304.7
403.75	1467.5
404.00	1381.4
404.25	1272.5
404.50	1258.4
404.75	1308.3
405.00	1335.0
405.25	1403.0
405.50	1367.7
405.75	1284.1
406.00	1338.5
406.25	1395.0
406.50	1558.2
406.75	1493.7
407.00	1444.3
407.25	1398.5
407.50	1393.9
407.75	1381.9
408.00	1495.2
408.25	1450.4
408.50	1356.2
408.75	1468.5
409.00	1587.5
409.25	1433.8
409.50	1429.7
409.75	1414.6
410.00	1516.4
410.25	1518.9
410.50	1520.9
410.75	1527.0
411.00	1525.5
411.25	1498.8
411.50	1620.7
411.75	1438.3
412.00	1546.1
412.25	1596.0
412.50	1586.5
412.75	1632.8
413.00	1592.0
413.25	1572.9
413.50	1450.4
413.75	1660.0
414.00	1602.6
414.25	1701.4
414.50	1656.0
414.75	1687.8
415.00	1697.8
415.25	1663.6
415.50	1668.6
415.75	1587.5
416.00	1746.7
416.25	1733.6
416.50	1831.9
416.75	1734.6
417.00	1779.0
417.25	1762.8
417.50	1887.3
417.75	1858.6
418.00	1860.1
418.25	1846.5
418.50	1875.2
418.75	1915.0
419.00	1891.4
419.25	1997.7
419.50	1946.3
419.75	2062.2
420.00	2015.8
420.25	2082.9
420.50	2170.0
420.75	2125.7
421.00	2137.3
421.25	2142.3
421.50	2167.5
