Wavelength (nm)	N11 abs e
220.00	28244
220.25	28760
220.50	28822
220.75	28826
221.00	29075
221.25	28914
221.50	29086
221.75	29225
222.00	29362
222.25	29473
222.50	29742
222.75	29608
223.00	29422
223.25	29306
223.50	29701
223.75	29947
224.00	29896
224.25	30022
224.50	30122
224.75	29903
225.00	30069
225.25	29886
225.50	30185
225.75	29945
226.00	29937
226.25	29858
226.50	30043
226.75	30109
227.00	29847
227.25	29789
227.50	29949
227.75	29401
228.00	29864
228.25	29564
228.50	29490
228.75	29523
229.00	29546
229.25	29206
229.50	29308
229.75	29213
230.00	29200
230.25	29221
230.50	29334
230.75	29203
231.00	29182
231.25	29214
231.50	29129
231.75	28819
232.00	29046
232.25	29205
232.50	29052
232.75	29112
233.00	29070
233.25	29075
233.50	29165
233.75	29100
234.00	29379
234.25	29466
234.50	29407
234.75	29577
235.00	29370
235.25	29381
235.50	29460
235.75	29671
236.00	30085
236.25	30023
236.50	29854
236.75	29848
237.00	29838
237.25	29960
237.50	29732
237.75	29566
238.00	29474
238.25	29432
238.50	29264
238.75	29164
239.00	29028
239.25	28833
239.50	28516
239.75	28267
240.00	28276
240.25	27927
240.50	27565
240.75	27302
241.00	27030
241.25	26558
241.50	26342
241.75	25931
242.00	25769
242.25	25033
242.50	24853
242.75	24461
243.00	24394
243.25	24285
243.50	24353
243.75	24322
244.00	24373
244.25	24364
244.50	24320
244.75	24342
245.00	24479
245.25	24535
245.50	24773
245.75	24742
246.00	24872
246.25	25068
246.50	25043
246.75	25117
247.00	25222
247.25	25234
247.50	25100
247.75	25008
248.00	24872
248.25	24626
248.50	24817
248.75	24920
249.00	25382
249.25	25772
249.50	26442
249.75	26825
250.00	27375
250.25	27516
250.50	27806
250.75	28128
251.00	28234
251.25	28483
251.50	28758
251.75	28893
252.00	29067
252.25	29217
252.50	29181
252.75	29112
253.00	29154
253.25	28805
253.50	28390
253.75	27895
254.00	27581
254.25	27591
254.50	27377
254.75	27542
255.00	27799
255.25	28251
255.50	28386
255.75	28970
256.00	29224
256.25	29802
256.50	29882
256.75	30254
257.00	30571
257.25	30505
257.50	30648
257.75	30636
258.00	31002
258.25	30937
258.50	31044
258.75	31022
259.00	30793
259.25	30763
259.50	30233
259.75	29694
260.00	29071
260.25	28644
260.50	28383
260.75	27921
261.00	27552
261.25	27634
261.50	27464
261.75	27217
262.00	26946
262.25	26725
262.50	26412
262.75	25941
263.00	25651
263.25	25302
263.50	24889
263.75	24414
264.00	23712
264.25	23205
264.50	22955
264.75	22504
265.00	22144
265.25	21810
265.50	21358
265.75	20978
266.00	20602
266.25	20339
266.50	19884
266.75	19480
267.00	19263
267.25	18943
267.50	18641
267.75	18439
268.00	18024
268.25	17840
268.50	17655
268.75	17560
269.00	17273
269.25	17296
269.50	17124
269.75	16981
270.00	16994
270.25	16855
270.50	16855
270.75	16850
271.00	16764
271.25	16767
271.50	16530
271.75	16522
272.00	16558
272.25	16569
272.50	16337
272.75	16468
273.00	16478
273.25	16518
273.50	16662
273.75	16466
274.00	16518
274.25	16406
274.50	16468
274.75	16423
275.00	16382
275.25	16202
275.50	16401
275.75	16278
276.00	16207
276.25	16350
276.50	16254
276.75	16120
277.00	16188
277.25	16035
277.50	16031
277.75	16029
278.00	15914
278.25	15803
278.50	15704
278.75	15468
279.00	15500
279.25	15436
279.50	15287
279.75	15391
280.00	15373
280.25	15265
280.50	15125
280.75	15049
281.00	14912
281.25	14880
281.50	14733
281.75	14739
282.00	14724
282.25	14576
282.50	14589
282.75	14553
283.00	14331
283.25	14220
283.50	14207
283.75	14317
284.00	14157
284.25	14063
284.50	14060
284.75	14029
285.00	13871
285.25	13732
285.50	13677
285.75	13854
286.00	13720
286.25	13721
286.50	13818
286.75	13712
287.00	13776
287.25	13622
287.50	13668
287.75	13638
288.00	13455
288.25	13582
288.50	13644
288.75	13465
289.00	13612
289.25	13539
289.50	13512
289.75	13486
290.00	13764
290.25	13722
290.50	13682
290.75	13671
291.00	13479
291.25	13588
291.50	13829
291.75	13680
292.00	13737
292.25	13782
292.50	13865
292.75	13840
293.00	13908
293.25	13984
293.50	13869
293.75	14065
294.00	14158
294.25	14121
294.50	14211
294.75	14345
295.00	14166
295.25	14361
295.50	14262
295.75	14447
296.00	14435
296.25	14608
296.50	14597
296.75	14630
297.00	14533
297.25	14691
297.50	14892
297.75	14811
298.00	14971
298.25	14933
298.50	15043
298.75	14900
299.00	15063
299.25	15282
299.50	15143
299.75	15231
300.00	15261
300.25	15397
300.50	15516
300.75	15654
301.00	15641
301.25	15607
301.50	15660
301.75	15916
302.00	15913
302.25	16042
302.50	16125
302.75	16123
303.00	16072
303.25	16220
303.50	16058
303.75	16389
304.00	16145
304.25	16518
304.50	16212
304.75	16535
305.00	16340
305.25	16313
305.50	16241
305.75	16204
306.00	16165
306.25	16322
306.50	16367
306.75	16194
307.00	16052
307.25	15995
307.50	15873
307.75	15884
308.00	15743
308.25	15210
308.50	15332
308.75	14951
309.00	14892
309.25	14785
309.50	14504
309.75	14333
310.00	14120
310.25	13708
310.50	13137
310.75	12983
311.00	13503
311.25	12838
311.50	12136
311.75	11963
312.00	11613
312.25	11129
312.50	11804
312.75	11387
313.00	10554
313.25	10408
313.50	10632
313.75	10093
314.00	9779.5
314.25	9532.8
314.50	8934.0
314.75	8332.5
315.00	8073.3
315.25	8410.3
315.50	8097.5
315.75	8076.0
316.00	7529.0
316.25	7173.3
316.50	7212.6
316.75	6799.7
317.00	6841.7
317.25	6879.3
317.50	6949.9
317.75	5871.1
318.00	6525.3
318.25	5766.5
318.50	5233.9
318.75	5676.3
319.00	5772.8
319.25	5535.1
319.50	5561.0
319.75	5282.1
320.00	5710.2
320.25	4441.1
320.50	4972.9
320.75	4944.3
321.00	4911.2
321.25	4417.0
321.50	4689.6
321.75	4479.5
322.00	4592.1
322.25	4327.6
322.50	4064.8
322.75	3782.4
323.00	4055.9
323.25	4636.8
323.50	4217.7
323.75	3964.7
324.00	3606.3
324.25	3678.7
324.50	3534.8
324.75	3897.7
325.00	3729.7
325.25	4288.3
325.50	3355.2
325.75	3511.6
326.00	3379.3
326.25	3166.6
326.50	3321.2
326.75	3655.5
327.00	3459.7
327.25	3215.8
327.50	3774.4
327.75	2954.8
328.00	3382.9
328.25	3258.7
328.50	2953.0
328.75	3340.0
329.00	2942.3
329.25	2819.8
329.50	3183.6
329.75	2602.6
330.00	3566.1
330.25	3162.1
330.50	3117.4
330.75	3297.1
331.00	3134.4
331.25	3131.7
331.50	2603.5
331.75	3471.4
332.00	3432.9
332.25	3905.7
332.50	3465.1
332.75	3267.6
333.00	3366.8
333.25	3576.8
333.50	3317.6
333.75	4347.3
334.00	3699.3
334.25	3865.5
334.50	3870.9
334.75	3773.5
335.00	4007.6
335.25	3723.4
335.50	3881.6
335.75	3862.8
336.00	4223.9
336.25	3859.3
336.50	4181.9
336.75	4139.0
337.00	4666.3
337.25	4684.2
337.50	4714.6
337.75	4882.6
338.00	5063.2
338.25	4687.8
338.50	5025.6
338.75	5254.4
339.00	4652.0
339.25	4866.5
339.50	5131.1
339.75	4968.4
340.00	5454.6
340.25	5679.8
340.50	5132.9
340.75	5518.1
341.00	5892.6
341.25	5627.1
341.50	5596.7
341.75	5649.5
342.00	5702.2
342.25	5713.8
342.50	5465.3
342.75	5825.5
343.00	6076.7
343.25	6174.1
343.50	6289.4
343.75	5986.4
344.00	6620.1
344.25	6568.2
344.50	5825.5
344.75	6401.1
345.00	6936.5
345.25	6056.1
345.50	6434.2
345.75	6544.1
346.00	6601.3
346.25	6927.5
346.50	6754.1
346.75	6765.8
347.00	6766.7
347.25	6927.5
347.50	7345.8
347.75	7206.4
348.00	7244.8
348.25	7758.7
348.50	7642.5
348.75	7711.4
349.00	7697.1
349.25	7880.3
349.50	8647.1
349.75	7784.7
350.00	8375.4
350.25	8190.4
350.50	7976.8
350.75	8154.7
351.00	8667.7
351.25	8684.7
351.50	9203.9
351.75	8618.5
352.00	8933.1
352.25	9167.3
352.50	8991.2
352.75	9229.9
353.00	9555.2
353.25	9355.9
353.50	9269.2
353.75	9417.6
354.00	9231.7
354.25	9610.6
354.50	9504.2
354.75	9542.7
355.00	9888.6
355.25	9893.0
355.50	9897.5
355.75	9298.7
356.00	9644.6
356.25	10106
356.50	9607.9
356.75	9739.3
357.00	9726.8
357.25	10075
357.50	9347.8
357.75	9549.8
358.00	9336.2
358.25	9312.1
358.50	9313.0
358.75	9419.3
359.00	9269.2
359.25	9300.5
359.50	8696.3
359.75	9386.3
360.00	9155.7
360.25	9033.2
360.50	8829.5
360.75	8620.3
361.00	8836.6
361.25	8092.1
361.50	8502.3
361.75	8528.3
362.00	8321.8
362.25	8003.6
362.50	8275.3
362.75	8104.6
363.00	7796.3
363.25	7424.5
363.50	7831.1
363.75	7324.4
364.00	7665.8
364.25	7174.2
364.50	7052.7
364.75	6893.6
365.00	6485.1
365.25	6871.2
365.50	6960.6
365.75	6808.7
366.00	6289.4
366.25	6022.2
366.50	6021.3
366.75	5923.8
367.00	6042.7
367.25	5574.4
367.50	5710.2
367.75	5730.8
368.00	5583.3
368.25	5334.9
368.50	5613.7
368.75	5348.3
369.00	5140.0
369.25	5050.6
369.50	5170.4
369.75	4989.0
370.00	4755.7
370.25	5312.5
370.50	4743.2
370.75	4329.4
371.00	4450.9
371.25	4429.5
371.50	4658.3
371.75	4124.7
372.00	4028.2
372.25	4132.7
372.50	3808.3
372.75	3934.3
373.00	3739.5
373.25	4348.1
373.50	3991.5
373.75	3887.9
374.00	3889.6
374.25	3609.9
374.50	3382.9
374.75	3622.4
375.00	3512.5
375.25	3525.9
375.50	3559.8
375.75	3483.9
376.00	3554.5
376.25	3476.7
376.50	3562.5
376.75	3339.1
377.00	3332.8
377.25	3294.4
377.50	3490.1
377.75	3274.7
378.00	3475.8
378.25	2902.0
378.50	3402.5
378.75	3307.8
379.00	3194.3
379.25	3109.4
379.50	3235.4
379.75	3071.0
380.00	2983.4
380.25	3112.1
380.50	3237.2
380.75	3169.3
381.00	3450.8
381.25	2997.7
381.50	3240.8
381.75	2936.0
382.00	3004.8
382.25	2865.4
382.50	3076.3
382.75	3079.0
383.00	2876.1
383.25	3080.8
383.50	3436.5
383.75	2916.3
384.00	3298.9
384.25	3322.1
384.50	3135.3
384.75	3453.5
385.00	3221.1
385.25	3255.1
385.50	3465.1
385.75	3042.4
386.00	3161.2
386.25	3516.9
386.50	3425.8
386.75	3480.3
387.00	3625.1
387.25	3191.6
387.50	3258.7
387.75	3579.5
388.00	3444.6
388.25	3401.7
388.50	3469.6
388.75	3321.2
389.00	3370.4
389.25	3390.9
389.50	3542.9
389.75	3491.0
390.00	3557.2
390.25	3417.7
390.50	3209.5
390.75	3697.5
391.00	3697.5
391.25	3567.9
391.50	3255.1
391.75	3302.4
392.00	3411.5
392.25	3439.2
392.50	3352.5
392.75	3411.5
393.00	3428.5
393.25	3417.7
393.50	3627.8
393.75	3371.3
394.00	3520.5
394.25	3517.8
394.50	3556.3
394.75	3702.0
395.00	3265.8
395.25	3550.0
395.50	3518.7
395.75	3549.1
396.00	3659.9
396.25	3357.0
396.50	3712.7
396.75	3365.0
397.00	3627.8
397.25	3514.3
397.50	3457.1
397.75	3537.5
398.00	3495.5
398.25	3388.2
398.50	3474.0
398.75	3518.7
399.00	3658.2
399.25	3249.7
399.50	3331.9
399.75	3646.5
400.00	3534.8
400.25	3647.4
400.50	3160.3
400.75	3572.4
401.00	3210.4
401.25	3503.5
401.50	3218.4
401.75	3202.3
402.00	3298.0
402.25	3368.6
402.50	3258.7
402.75	3294.4
403.00	3477.6
403.25	3462.4
403.50	3214.9
403.75	3010.2
404.00	3216.6
404.25	3403.4
404.50	3295.3
404.75	3176.4
405.00	3286.4
405.25	3138.9
405.50	3271.2
405.75	3223.8
406.00	3287.3
406.25	3352.5
406.50	3184.5
406.75	3024.5
407.00	3095.1
407.25	3146.0
407.50	3311.4
407.75	3167.5
408.00	3063.8
408.25	3110.3
408.50	3195.2
408.75	3143.4
409.00	3025.4
409.25	3108.5
409.50	3050.4
409.75	3029.0
410.00	3353.4
410.25	3205.9
410.50	3029.8
410.75	3336.4
411.00	3087.0
411.25	3148.7
411.50	3141.6
411.75	3020.0
412.00	3063.8
412.25	3211.3
412.50	3185.4
412.75	3027.2
413.00	3034.3
413.25	3114.8
413.50	2868.1
413.75	3028.1
414.00	3007.5
414.25	3205.9
414.50	2963.7
414.75	2961.9
415.00	3020.0
415.25	3078.1
415.50	3074.5
415.75	2911.0
416.00	2892.2
416.25	2932.4
416.50	2823.4
416.75	2955.7
