Wavelength (nm)	N13 abs N
220.00	0.28886
220.25	0.29020
220.50	0.29298
220.75	0.29087
221.00	0.29447
221.25	0.29308
221.50	0.29382
221.75	0.29552
222.00	0.29692
222.25	0.29489
222.50	0.29711
222.75	0.29746
223.00	0.29630
223.25	0.29412
223.50	0.29557
223.75	0.29593
224.00	0.29510
224.25	0.29413
224.50	0.29577
224.75	0.29477
225.00	0.29558
225.25	0.29206
225.50	0.29347
225.75	0.29043
226.00	0.29071
226.25	0.28843
226.50	0.28786
226.75	0.28631
227.00	0.28804
227.25	0.28444
227.50	0.28557
227.75	0.28178
228.00	0.28420
228.25	0.28295
228.50	0.28088
228.75	0.28063
229.00	0.28122
229.25	0.27743
229.50	0.27782
229.75	0.27536
230.00	0.27430
230.25	0.27580
230.50	0.27618
230.75	0.27380
231.00	0.27424
231.25	0.27198
231.50	0.27226
231.75	0.27084
232.00	0.27152
232.25	0.27304
232.50	0.27024
232.75	0.26943
233.00	0.26909
233.25	0.27003
233.50	0.26924
233.75	0.27023
234.00	0.27013
234.25	0.27315
234.50	0.27297
234.75	0.27332
235.00	0.27473
235.25	0.27619
235.50	0.27762
235.75	0.27800
236.00	0.28050
236.25	0.28401
236.50	0.28481
236.75	0.28487
237.00	0.28963
237.25	0.29097
237.50	0.29417
237.75	0.29648
238.00	0.29817
238.25	0.30193
238.50	0.30375
238.75	0.30726
239.00	0.30948
239.25	0.31215
239.50	0.31440
239.75	0.31661
240.00	0.32206
240.25	0.32468
240.50	0.32603
240.75	0.32930
241.00	0.33392
241.25	0.33446
241.50	0.33983
241.75	0.34415
242.00	0.34723
242.25	0.34817
242.50	0.35154
242.75	0.35507
243.00	0.35804
243.25	0.36286
243.50	0.36628
243.75	0.36908
244.00	0.37309
244.25	0.37585
244.50	0.37727
244.75	0.38040
245.00	0.38295
245.25	0.38649
245.50	0.38725
245.75	0.38940
246.00	0.39123
246.25	0.39454
246.50	0.39601
246.75	0.39705
247.00	0.39929
247.25	0.40083
247.50	0.40118
247.75	0.40100
248.00	0.40025
248.25	0.40006
248.50	0.39965
248.75	0.39763
249.00	0.39533
249.25	0.39335
249.50	0.39148
249.75	0.38743
250.00	0.38386
250.25	0.37728
250.50	0.37349
250.75	0.36767
251.00	0.36077
251.25	0.35402
251.50	0.34545
251.75	0.33773
252.00	0.32885
252.25	0.32136
252.50	0.31260
252.75	0.30340
253.00	0.29487
253.25	0.28612
253.50	0.27685
253.75	0.26816
254.00	0.25952
254.25	0.24954
254.50	0.24280
254.75	0.23664
255.00	0.23372
255.25	0.22743
255.50	0.21942
255.75	0.21162
256.00	0.20559
256.25	0.19982
256.50	0.19231
256.75	0.18692
257.00	0.18123
257.25	0.17554
257.50	0.16892
257.75	0.16579
258.00	0.16172
258.25	0.15800
258.50	0.15416
258.75	0.15238
259.00	0.14863
259.25	0.14526
259.50	0.14270
259.75	0.14062
260.00	0.13732
260.25	0.13640
260.50	0.13499
260.75	0.13397
261.00	0.13256
261.25	0.13251
261.50	0.13099
261.75	0.13044
262.00	0.12932
262.25	0.12813
262.50	0.12896
262.75	0.12751
263.00	0.12826
263.25	0.12772
263.50	0.12818
263.75	0.12886
264.00	0.12835
264.25	0.12816
264.50	0.12879
264.75	0.13041
265.00	0.13033
265.25	0.13202
265.50	0.13163
265.75	0.13202
266.00	0.13345
266.25	0.13444
266.50	0.13455
266.75	0.13690
267.00	0.13839
267.25	0.13900
267.50	0.14005
267.75	0.14132
268.00	0.14137
268.25	0.14153
268.50	0.14278
268.75	0.14535
269.00	0.14674
269.25	0.14906
269.50	0.14968
269.75	0.15040
270.00	0.15225
270.25	0.15340
270.50	0.15459
270.75	0.15579
271.00	0.15666
271.25	0.15706
271.50	0.15808
271.75	0.15921
272.00	0.15971
272.25	0.16237
272.50	0.16208
272.75	0.16383
273.00	0.16356
273.25	0.16480
273.50	0.16442
273.75	0.16522
274.00	0.16531
