Wavelength (nm)	N-13, 989-38-8, Rhodamine 6G.ems
500.00	0.0019459
501.00	0.0022722
502.00	0.0026665
503.00	0.0032276
504.00	0.0039085
505.00	0.0047542
506.00	0.0058145
507.00	0.0070471
508.00	0.0086616
509.00	0.010695
510.00	0.012983
511.00	0.015850
512.00	0.019473
513.00	0.023713
514.00	0.029165
515.00	0.035664
516.00	0.043495
517.00	0.052533
518.00	0.063762
519.00	0.076316
520.00	0.091547
521.00	0.10937
522.00	0.13025
523.00	0.15461
524.00	0.18149
525.00	0.21125
526.00	0.24630
527.00	0.28465
528.00	0.32671
529.00	0.37262
530.00	0.41936
531.00	0.46666
532.00	0.51322
533.00	0.55877
534.00	0.60284
535.00	0.64529
536.00	0.68715
537.00	0.72657
538.00	0.76432
539.00	0.79961
540.00	0.83252
541.00	0.86058
542.00	0.88609
543.00	0.90863
544.00	0.92847
545.00	0.94569
546.00	0.96066
547.00	0.97426
548.00	0.98342
549.00	0.99120
550.00	0.99537
551.00	0.99909
552.00	1.0000
553.00	0.99776
554.00	0.99249
555.00	0.98617
556.00	0.97964
557.00	0.97109
558.00	0.96184
559.00	0.95045
560.00	0.93838
561.00	0.92381
562.00	0.90868
563.00	0.89139
564.00	0.87361
565.00	0.85598
566.00	0.83891
567.00	0.82177
568.00	0.80176
569.00	0.78354
570.00	0.76486
571.00	0.74567
572.00	0.72788
573.00	0.70928
574.00	0.69272
575.00	0.67262
576.00	0.65614
577.00	0.63952
578.00	0.62227
579.00	0.60767
580.00	0.59433
581.00	0.58207
582.00	0.57006
583.00	0.55867
584.00	0.54874
585.00	0.53800
586.00	0.52806
587.00	0.51852
588.00	0.50845
589.00	0.50000
590.00	0.49143
591.00	0.48356
592.00	0.47482
593.00	0.46713
594.00	0.45919
595.00	0.45017
596.00	0.44228
597.00	0.43413
598.00	0.42488
599.00	0.41617
600.00	0.40623
601.00	0.39623
602.00	0.38639
603.00	0.37700
604.00	0.36753
605.00	0.35851
606.00	0.34925
607.00	0.33992
608.00	0.33055
609.00	0.32095
610.00	0.31120
611.00	0.30133
612.00	0.29140
613.00	0.28299
614.00	0.27326
615.00	0.26478
616.00	0.25627
617.00	0.24754
618.00	0.23869
619.00	0.23064
620.00	0.22251
621.00	0.21502
622.00	0.20792
623.00	0.20061
624.00	0.19304
625.00	0.18499
626.00	0.17721
627.00	0.17006
628.00	0.16362
629.00	0.15776
630.00	0.15217
631.00	0.14668
632.00	0.14179
633.00	0.13713
634.00	0.13193
635.00	0.12772
636.00	0.12266
637.00	0.11863
638.00	0.11482
639.00	0.11070
640.00	0.10693
641.00	0.10344
642.00	0.10042
643.00	0.097077
644.00	0.094131
645.00	0.091321
646.00	0.088564
647.00	0.086063
648.00	0.083143
649.00	0.080471
650.00	0.077827
651.00	0.075636
652.00	0.073741
653.00	0.071250
654.00	0.069392
655.00	0.067504
656.00	0.065606
657.00	0.063603
658.00	0.061681
659.00	0.060120
660.00	0.058319
661.00	0.056689
662.00	0.055001
663.00	0.053574
664.00	0.051701
665.00	0.050132
666.00	0.048685
667.00	0.047199
668.00	0.046165
669.00	0.044845
670.00	0.043308
671.00	0.042034
672.00	0.040718
673.00	0.039430
674.00	0.038053
675.00	0.036900
676.00	0.035691
677.00	0.034391
678.00	0.033576
679.00	0.032448
680.00	0.031144
681.00	0.030419
682.00	0.029387
683.00	0.028332
684.00	0.027456
685.00	0.026529
686.00	0.025610
687.00	0.024909
688.00	0.024056
689.00	0.023210
690.00	0.022568
691.00	0.021919
692.00	0.021086
693.00	0.020279
694.00	0.019716
695.00	0.019199
696.00	0.018534
697.00	0.017964
698.00	0.017469
699.00	0.017119
700.00	0.016298
701.00	0.015791
702.00	0.015423
703.00	0.014970
704.00	0.014509
705.00	0.014047
706.00	0.013684
707.00	0.013274
708.00	0.012893
709.00	0.012470
710.00	0.012166
711.00	0.011836
712.00	0.011656
713.00	0.011315
714.00	0.011065
715.00	0.010725
716.00	0.010576
717.00	0.010352
718.00	0.010174
719.00	0.0098756
720.00	0.0096544
721.00	0.0092604
722.00	0.0090843
723.00	0.0089938
724.00	0.0087091
725.00	0.0084290
726.00	0.0083174
727.00	0.0082405
728.00	0.0079884
729.00	0.0078717
730.00	0.0076818
731.00	0.0075472
732.00	0.0073390
733.00	0.0071814
734.00	0.0070591
735.00	0.0068862
736.00	0.0068534
737.00	0.0066159
738.00	0.0066054
739.00	0.0064485
740.00	0.0064425
741.00	0.0063008
742.00	0.0062020
743.00	0.0060321
744.00	0.0058712
745.00	0.0057977
746.00	0.0056539
747.00	0.0055856
748.00	0.0055032
749.00	0.0054429
750.00	0.0052671
