Wavelength (nm)	ems
506	0.018313301
507	0.019552491
508	0.02079168
509	0.02203087
510	0.023270059
511	0.024509249
512	0.026997541
513	0.029703931
514	0.032410321
515	0.035372376
516	0.038619314
517	0.042713596
518	0.047450692
519	0.056643653
520	0.065705129
521	0.072195351
522	0.082557063
523	0.094715731
524	0.11476347
525	0.127740263
526	0.148182456
527	0.17489208
528	0.200842015
529	0.227829217
530	0.273268083
531	0.339262362
532	0.365933026
533	0.392603691
534	0.444862707
535	0.484866878
536	0.539582706
537	0.620668489
538	0.68367515
539	0.784074549
540	0.811733785
541	0.838940127
542	0.879820861
543	0.933879271
544	0.979756417
545	0.990132737
546	0.996413559
547	0.996933409
548	0.988828849
549	0.980724288
550	0.972619727
551	0.956767318
552	0.940914909
553	0.909269747
554	0.872983667
555	0.844878847
556	0.81696395
557	0.790495382
558	0.762390561
559	0.728295888
560	0.702419001
561	0.681509307
562	0.646012135
563	0.626556076
564	0.596581254
565	0.573545894
566	0.560576405
567	0.535247369
568	0.513293104
569	0.502485806
570	0.484227717
571	0.469914164
572	0.459106866
573	0.448299567
574	0.437492268
575	0.42668497
576	0.415877671
577	0.405070372
578	0.397769328
579	0.39056568
580	0.381779347
581	0.370972049
582	0.362597215
583	0.354934588
584	0.345748932
585	0.336563276
586	0.327377621
587	0.318855961
588	0.310643291
589	0.30243062
590	0.29421795
591	0.284316433
592	0.27242804
593	0.260539647
594	0.249089535
595	0.242606617
596	0.236123699
597	0.228851873
598	0.220927495
599	0.213003116
600	0.205078738
601	0.19715436
602	0.189921493
603	0.183438575
604	0.176955657
605	0.170472739
606	0.16398982
607	0.157209844
608	0.150006196
609	0.142802548
610	0.138890883
611	0.135435031
612	0.131979179
613	0.128523327
614	0.125067475
615	0.121611623
616	0.118155772
617	0.11469992
618	0.111337568
619	0.108097935
620	0.104858302
621	0.10166041
622	0.099192988
623	0.096725565
624	0.094258143
625	0.091790721
626	0.089323299
627	0.086987361
628	0.085446592
629	0.083905823
630	0.082365054
631	0.080824285
632	0.079283516
633	0.077683613
634	0.07588544
635	0.074087268
636	0.072289095
637	0.070490922
638	0.06878458
639	0.067552695
640	0.06632081
641	0.065088925
642	0.06385704
643	0.062625155
644	0.06143188
645	0.060354438
646	0.059276995
647	0.058199552
648	0.05712211
649	0.056044667
650	0.054967224
651	0.053889782
652	0.052812339
653	0.051908748
654	0.051047524
655	0.050186301
656	0.049325077
657	0.048463853
658	0.04760263
659	0.046741406
660	0.045880182
661	0.045038316
662	0.044231147
663	0.043423978
664	0.042616809
665	0.04180964
666	0.041002471
667	0.040195302
668	0.039615675
669	0.039186889
670	0.038758103
671	0.038329317
672	0.037900532
673	0.037471746
674	0.03704296
675	0.036614175
676	0.036160951
677	0.035574915
678	0.034988879
679	0.034402844
680	0.033816808
681	0.033230772
682	0.032644736
683	0.0320587
684	0.031472664
685	0.030886628
686	0.030623592
687	0.030411026
688	0.030198459
689	0.029985893
690	0.029773326
691	0.029560759
692	0.029348193
693	0.029135626
694	0.028923059
695	0.028710493
696	0.028497926
697	0.028285359
698	0.028072793
699	0.027860226
700	0.027647659
701	0.027435093
702	0.027222526
703	0.026869709
704	0.026512997
705	0.026156284
706	0.025799571
707	0.025442859
708	0.025086146
709	0.024729433
710	0.02437272
711	0.024016008
712	0.023659295
713	0.02360451
714	0.023608162
715	0.023611815
716	0.023615467
717	0.023619119
718	0.023622771
719	0.023626424
720	0.023630076
721	0.023633728
722	0.023637381
723	0.023641033
724	0.023644686
725	0.023648338
726	0.02365199
727	0.023655643
728	0.023659295
729	0.023662948
730	0.023410936
731	0.023144314
732	0.022877693
733	0.022611071
734	0.02234445
735	0.022077828
736	0.02186234
737	0.021865992
738	0.021869644
739	0.021873297
740	0.021876949
741	0.021880602
742	0.021884254
743	0.021794406
744	0.02158184
745	0.021369273
746	0.021156706
747	0.02094414
748	0.020731573
749	0.020519006
750	0.02030644
751	0.020093873
752	0.019881306
753	0.01966874
754	0.019456173
755	0.019243606
756	0.01903104
757	0.018818473
758	0.018605906
759	0.01839334
760	0.018297648
761	0.018301301
762	0.018304953
763	0.018308605
764	0.018312257
765	0.01831591
766	0.018319562
767	0.018323214
768	0.018326867
769	0.018330519
770	0.018334171
771	0.018337824
772	0.018341476
773	0.018345128
774	0.018348781
775	0.018352433
776	0.018356086
777	0.018359738
778	0.01836339
779	0.018367043
780	0.018370695
781	0.018374347
782	0.018378
783	0.018381652
784	0.018385304
785	0.018388957
786	0.018392609
787	0.018396261
788	0.018399914
789	0.018403566
790	0.018407218
791	0.018410871
792	0.018414523
793	0.018418175
794	0.018421828
795	0.01842548
796	0.018429132
797	0.018432785
798	0.018436437
799	0.01844009
800	0.018443742
801	0.018447394
802	0.018451047
803	0.018454699
804	0.018458351
805	0.018462004
806	0.018465656
807	0.018469309
808	0.018472961
809	0.018476613
810	0.018480266
811	0.018483918
812	0.01848757
813	0.018491223
814	0.018494875
815	0.018498527
816	0.01850218
817	0.018505832
818	0.018509484
819	0.018513136
820	0.018516789
821	0.018520441
822	0.018524093
823	0.018527746
824	0.018531398
825	0.01853505
826	0.018538703
827	0.018542355
828	0.018546007
829	0.01854966
830	0.018553312
831	0.018556964
832	0.018560617
833	0.018564269
834	0.018567921
835	0.018571574
836	0.018575226
837	0.018578878
838	0.018582531
839	0.018586183
840	0.018589835
841	0.018593488
842	0.01859714
843	0.018600792
844	0.018604445
845	0.018608097
846	0.01861175
847	0.018615402
848	0.018619054
849	0.018622707
