Wavelength (nm)	ems
505.2364865	0.017322651
511.1486486	0.024630163
514.527027	0.033749938
516.2162162	0.039220573
517.9054054	0.046512701
518.75	0.053801753
519.5945946	0.062912298
521.2837838	0.073847413
522.972973	0.093889997
523.8175676	0.11210801
525.5067568	0.133972087
526.3513514	0.157654581
527.1959459	0.179515581
528.0405405	0.201376581
529.7297297	0.246920076
530.5743243	0.327068872
533.1081081	0.394473367
533.9527027	0.441835278
535.6418919	0.509236696
537.3310811	0.645854871
538.1756757	0.691395289
539.0202703	0.78429454
540.7094595	0.828016541
541.5540541	0.853520529
543.2432432	0.944601364
544.0878378	0.981034313
545.3547297	0.990146396
546.6216216	0.997436986
550	0.970126889
552.5337838	0.93006326
553.3783784	0.888171983
555.0675676	0.840819303
555.9121622	0.817142963
556.7567568	0.795288116
557.6013514	0.771611776
558.4459459	0.747935435
559.2905405	0.715151627
560.9797297	0.680549402
561.8243243	0.647765593
563.5135135	0.614984862
564.3581081	0.58037956
566.0472973	0.55852779
566.8918919	0.536672943
567.7364865	0.514818097
569.4256757	0.496609314
570.2702703	0.476575961
571.9594595	0.458367179
573.6486486	0.440158396
575.3378378	0.421949614
577.027027	0.403740831
579.5608108	0.385535125
581.25	0.367326343
582.9391892	0.354582041
586.3175676	0.323628957
590.5405405	0.289035962
592.2297297	0.269005686
593.9189189	0.24897541
596.4527027	0.232591198
598.9864865	0.212563998
601.5202703	0.192536799
604.0540541	0.176152587
606.5878378	0.159768375
609.1216216	0.141562669
613.3445946	0.127006104
617.5675676	0.11244954
620.9459459	0.101532885
626.8581081	0.086982474
632.7702703	0.077896544
637.8378378	0.068807537
643.75	0.0615431
652.1959459	0.052466401
660.6418919	0.045211195
667.3986486	0.039771329
675.8445946	0.03615911
685.1351351	0.030728474
693.5810811	0.028937749
702.027027	0.027147024
712.1621622	0.023540959
721.4527027	0.023574804
729.0540541	0.023602496
735.8108108	0.021805617
742.5675676	0.021830232
751.0135135	0.020039507
759.4594595	0.018248782
767.9054054	0.01827955
780.5743243	0.018325703
795.777027	0.018381086
809.2905405	0.018430316
827.027027	0.018494929
838.0067568	0.018534928
849.8310811	0.018578004
