Wavelength (nm)	abs
252	0.344421971
253	0.345503939
254	0.346585906
255	0.347667873
256	0.34874984
257	0.349831807
258	0.350913774
259	0.353090625
260	0.357015447
261	0.360940269
262	0.364865091
263	0.368789913
264	0.373916637
265	0.379465948
266	0.385015258
267	0.391289003
268	0.397762591
269	0.4044159
270	0.411608371
271	0.418800842
272	0.430112317
273	0.442900417
274	0.450092888
275	0.457285359
276	0.466782626
277	0.478647837
278	0.483865808
279	0.487463865
280	0.491061922
281	0.494659979
282	0.498258036
283	0.502067872
284	0.505953483
285	0.509839093
286	0.513724703
287	0.51738882
288	0.5208431
289	0.52429738
290	0.527751661
291	0.531456579
292	0.535773519
293	0.540090459
294	0.544407399
295	0.548797199
296	0.554192463
297	0.559587727
298	0.564982992
299	0.570378256
300	0.57577352
301	0.581168783
302	0.587569512
303	0.596199749
304	0.604829985
305	0.612343039
306	0.619535511
307	0.626553118
308	0.633026707
309	0.639500295
310	0.645973884
311	0.652447472
312	0.65892106
313	0.665216142
314	0.671150568
315	0.677084995
316	0.683019421
317	0.690494831
318	0.698046743
319	0.705598656
320	0.714389184
321	0.724097745
322	0.730942918
323	0.737416507
324	0.742879773
325	0.746477831
326	0.750075888
327	0.752498474
328	0.754197321
329	0.752763198
330	0.751329075
331	0.749040065
332	0.746168176
333	0.743252572
334	0.739661801
335	0.73607103
336	0.732101388
337	0.727791735
338	0.723482081
339	0.719332718
340	0.716101389
341	0.709401934
342	0.702600477
343	0.698290823
344	0.685995741
345	0.673059494
346	0.660123246
347	0.647186999
348	0.634250751
349	0.617613228
350	0.601274431
351	0.589416507
352	0.576523975
353	0.562509403
354	0.551052208
355	0.540272609
356	0.529493009
357	0.517824521
358	0.504888273
359	0.493511224
360	0.482585906
361	0.466268965
362	0.445449294
363	0.432513046
364	0.426046744
365	0.410837272
366	0.393063138
367	0.372695195
368	0.356378256
369	0.339383721
370	0.321055852
371	0.307573155
372	0.294636907
373	0.281700659
374	0.271008492
375	0.262385541
376	0.250177891
377	0.238159676
378	0.231693374
379	0.225227071
380	0.218105031
381	0.210560405
382	0.204997563
383	0.199114139
384	0.191569512
385	0.185190642
386	0.179802663
387	0.172578619
388	0.165558583
389	0.161248929
390	0.156939275
391	0.152629622
392	0.148319968
393	0.144010314
394	0.13970066
395	0.135391006
396	0.131988455
397	0.129296288
398	0.126604121
399	0.123616871
400	0.119307217
401	0.114997563
402	0.111387363
403	0.108156033
404	0.104924703
405	0.101547654
406	0.097777162
407	0.09400667
408	0.090236179
409	0.086946561
410	0.083715232
411	0.080483902
412	0.076698838
413	0.072389184
414	0.06807953
415	0.063915596
416	0.060684266
417	0.057452937
418	0.054221607
419	0.050990277
420	0.047758947
421	0.044527617
422	0.04190831
423	0.040294466
424	0.038680623
425	0.03706678
426	0.035776434
427	0.034486088
428	0.033195742
429	0.031905395
430	0.031285359
431	0.030857672
432	0.030429986
433	0.030002299
434	0.029813592
435	0.029817235
436	0.029820878
437	0.029824521
438	0.029828164
439	0.030041643
440	0.030476616
441	0.030911589
442	0.031346561
443	0.031952026
444	0.033033993
445	0.03411596
446	0.035197927
447	0.036598048
448	0.038039457
