Wavelength (nm)	N-1, 2321-07-5, Fluorescein, EtOH-base.ems
500.00	0.0038861
500.50	0.0044031
501.00	0.0048108
501.50	0.0055874
502.00	0.0059546
502.50	0.0066824
503.00	0.0071528
503.50	0.0082280
504.00	0.0086133
504.50	0.0097056
505.00	0.010321
505.50	0.012085
506.00	0.012417
506.50	0.014179
507.00	0.015442
507.50	0.017696
508.00	0.018896
508.50	0.020817
509.00	0.023665
509.50	0.026277
510.00	0.028262
510.50	0.031835
511.00	0.035147
511.50	0.039445
512.00	0.042714
512.50	0.047305
513.00	0.052068
513.50	0.058605
514.00	0.063405
514.50	0.070346
515.00	0.076370
515.50	0.087308
516.00	0.093447
516.50	0.10387
517.00	0.11171
517.50	0.12593
518.00	0.13402
518.50	0.14841
519.00	0.15957
519.50	0.17790
520.00	0.18810
520.50	0.20761
521.00	0.22146
521.50	0.24526
522.00	0.25931
522.50	0.28385
523.00	0.30230
523.50	0.33075
524.00	0.34871
524.50	0.37321
525.00	0.39998
525.50	0.43039
526.00	0.45117
526.50	0.48327
527.00	0.51117
527.50	0.54424
528.00	0.56374
528.50	0.59880
529.00	0.62469
529.50	0.65895
530.00	0.68088
530.50	0.71382
531.00	0.73632
531.50	0.76991
532.00	0.78749
532.50	0.81301
533.00	0.83405
533.50	0.86227
534.00	0.87194
534.50	0.89442
535.00	0.91008
535.50	0.92877
536.00	0.93908
536.50	0.95437
537.00	0.96298
537.50	0.97555
538.00	0.98082
538.50	0.98952
539.00	0.99224
539.50	0.99713
540.00	1.0000
540.50	0.99963
541.00	0.99889
541.50	0.99622
542.00	0.99658
542.50	0.98937
543.00	0.98592
543.50	0.97543
544.00	0.96898
544.50	0.96071
545.00	0.95146
545.50	0.93966
546.00	0.93234
546.50	0.91593
547.00	0.90896
547.50	0.89105
548.00	0.88527
548.50	0.86274
549.00	0.85675
549.50	0.83287
550.00	0.82794
550.50	0.80751
551.00	0.79465
551.50	0.77550
552.00	0.76362
552.50	0.74708
553.00	0.73294
553.50	0.71201
554.00	0.70263
554.50	0.68605
555.00	0.67010
555.50	0.65307
556.00	0.64434
556.50	0.62859
557.00	0.61517
557.50	0.59762
558.00	0.59073
558.50	0.57831
559.00	0.56690
559.50	0.55229
560.00	0.54255
560.50	0.52997
561.00	0.51967
561.50	0.50718
562.00	0.50038
562.50	0.48922
563.00	0.47833
563.50	0.46599
564.00	0.45952
564.50	0.45029
565.00	0.44110
565.50	0.43102
566.00	0.42612
566.50	0.41788
567.00	0.41283
567.50	0.40234
568.00	0.39780
568.50	0.39120
569.00	0.38571
569.50	0.37905
570.00	0.37356
570.50	0.36720
571.00	0.36464
571.50	0.35724
572.00	0.35430
572.50	0.35052
573.00	0.34717
573.50	0.33970
574.00	0.33664
574.50	0.33388
575.00	0.33219
