Wavelength (nm)	N-11, 81-88-9, Rhodamine B.ems
520.00	0.019440
520.50	0.020728
521.00	0.021798
521.50	0.023308
522.00	0.024187
522.50	0.025877
523.00	0.026981
523.50	0.029153
524.00	0.030532
524.50	0.032329
525.00	0.034225
525.50	0.036729
526.00	0.038292
526.50	0.041077
527.00	0.043543
527.50	0.046858
528.00	0.048788
528.50	0.052563
529.00	0.055460
529.50	0.059813
530.00	0.062729
530.50	0.067439
531.00	0.071522
531.50	0.077678
532.00	0.080825
532.50	0.086471
533.00	0.092021
533.50	0.098762
534.00	0.10328
534.50	0.11042
535.00	0.11695
535.50	0.12625
536.00	0.13256
536.50	0.14100
537.00	0.14882
537.50	0.16014
538.00	0.16759
538.50	0.17891
539.00	0.18866
539.50	0.20344
540.00	0.21207
540.50	0.22716
541.00	0.23765
541.50	0.25590
542.00	0.26547
542.50	0.28277
543.00	0.29612
543.50	0.31649
544.00	0.32757
544.50	0.34842
545.00	0.36401
545.50	0.38773
546.00	0.40156
546.50	0.42585
547.00	0.44217
547.50	0.46975
548.00	0.48400
548.50	0.50900
549.00	0.52755
549.50	0.55686
550.00	0.57318
550.50	0.59844
551.00	0.62153
551.50	0.64891
552.00	0.66729
552.50	0.69270
553.00	0.71431
553.50	0.74189
554.00	0.75719
554.50	0.78198
555.00	0.80024
555.50	0.82425
556.00	0.83875
556.50	0.85750
557.00	0.87344
557.50	0.89259
558.00	0.90569
558.50	0.92006
559.00	0.93236
559.50	0.94512
560.00	0.95500
560.50	0.96429
561.00	0.97237
561.50	0.98064
562.00	0.98670
562.50	0.99061
563.00	0.99253
563.50	0.99675
564.00	0.99919
564.50	0.99814
565.00	1.00000
565.50	0.99652
566.00	0.99501
566.50	0.99156
567.00	0.98695
567.50	0.97988
568.00	0.97597
568.50	0.96767
569.00	0.96073
569.50	0.94921
570.00	0.94321
570.50	0.93144
571.00	0.92251
571.50	0.90836
572.00	0.90041
572.50	0.88792
573.00	0.87639
573.50	0.85974
574.00	0.84883
574.50	0.83265
575.00	0.81843
575.50	0.80238
576.00	0.79301
576.50	0.77392
577.00	0.76086
577.50	0.74340
578.00	0.73332
578.50	0.71585
579.00	0.70155
579.50	0.68398
580.00	0.67444
580.50	0.66070
581.00	0.64812
581.50	0.63176
582.00	0.62256
582.50	0.60832
583.00	0.59812
583.50	0.58046
584.00	0.57264
584.50	0.55937
585.00	0.54951
585.50	0.53377
586.00	0.52608
586.50	0.51387
587.00	0.50543
587.50	0.49037
588.00	0.48349
588.50	0.47200
589.00	0.46416
589.50	0.45180
590.00	0.44507
590.50	0.43564
591.00	0.42887
591.50	0.41772
592.00	0.41399
592.50	0.40450
593.00	0.39888
593.50	0.38912
594.00	0.38589
594.50	0.37784
595.00	0.37408
595.50	0.36500
596.00	0.36126
596.50	0.35557
597.00	0.35147
597.50	0.34475
598.00	0.34132
598.50	0.33682
599.00	0.33197
599.50	0.32711
600.00	0.32403
600.50	0.31981
601.00	0.31553
601.50	0.31224
602.00	0.31002
602.50	0.30635
603.00	0.30327
603.50	0.29935
604.00	0.29805
604.50	0.29516
605.00	0.29262
605.50	0.28940
606.00	0.28754
606.50	0.28592
607.00	0.28386
607.50	0.28033
608.00	0.27908
608.50	0.27638
609.00	0.27514
609.50	0.27128
610.00	0.27023
610.50	0.26751
611.00	0.26572
611.50	0.26203
612.00	0.26175
612.50	0.25893
613.00	0.25719
613.50	0.25309
614.00	0.25204
614.50	0.24904
615.00	0.24701
615.50	0.24346
616.00	0.24265
616.50	0.23991
617.00	0.23784
617.50	0.23388
618.00	0.23259
618.50	0.22916
619.00	0.22676
619.50	0.22354
620.00	0.22184
620.50	0.21864
621.00	0.21691
621.50	0.21291
622.00	0.21062
622.50	0.20846
623.00	0.20507
623.50	0.20164
624.00	0.19909
624.50	0.19587
625.00	0.19197
625.50	0.18779
626.00	0.18543
626.50	0.18144
627.00	0.17832
627.50	0.17405
628.00	0.17191
628.50	0.16889
629.00	0.16677
629.50	0.16307
630.00	0.16107
630.50	0.15812
631.00	0.15596
631.50	0.15156
632.00	0.15050
632.50	0.14676
633.00	0.14498
633.50	0.14147
634.00	0.13939
634.50	0.13646
635.00	0.13404
635.50	0.13067
636.00	0.12865
636.50	0.12555
637.00	0.12374
637.50	0.12028
638.00	0.11819
638.50	0.11586
639.00	0.11352
639.50	0.11077
640.00	0.10940
640.50	0.10682
641.00	0.10497
641.50	0.10184
642.00	0.10083
642.50	0.098607
643.00	0.097063
643.50	0.094318
644.00	0.093424
644.50	0.090845
645.00	0.089698
645.50	0.086812
646.00	0.085809
646.50	0.084328
647.00	0.082209
647.50	0.080312
648.00	0.079332
648.50	0.077196
649.00	0.075981
649.50	0.073848
650.00	0.072907
650.50	0.071165
651.00	0.070156
651.50	0.068890
652.00	0.067424
652.50	0.066054
653.00	0.065015
653.50	0.063338
654.00	0.062808
654.50	0.061658
655.00	0.060552
655.50	0.059199
656.00	0.058777
656.50	0.057563
657.00	0.057116
657.50	0.055730
658.00	0.054792
658.50	0.053674
659.00	0.053217
659.50	0.052095
660.00	0.051223
660.50	0.050091
661.00	0.049531
661.50	0.048656
662.00	0.048011
662.50	0.047592
663.00	0.046719
663.50	0.046226
664.00	0.045618
664.50	0.044689
665.00	0.044634
665.50	0.043609
666.00	0.043147
666.50	0.042382
667.00	0.042175
667.50	0.041110
668.00	0.041105
668.50	0.040774
669.00	0.040395
669.50	0.039776
670.00	0.039051
670.50	0.038344
671.00	0.037986
671.50	0.037514
672.00	0.037365
672.50	0.036432
673.00	0.036007
673.50	0.035529
674.00	0.035315
674.50	0.034551
675.00	0.034509
675.50	0.033788
676.00	0.033470
676.50	0.033205
677.00	0.032712
