Wavelength (nm)	Abs
252	0.342468966
253	0.341609949
254	0.340750933
255	0.339891916
256	0.3390329
257	0.337480259
258	0.335866416
259	0.334252573
260	0.334095924
261	0.335177891
262	0.336259858
263	0.337516689
264	0.33967698
265	0.341837272
266	0.343997563
267	0.346157854
268	0.348318146
269	0.350478437
270	0.35220157
271	0.353283538
272	0.354365505
273	0.355418328
274	0.355421971
275	0.355425614
276	0.355429257
277	0.3554329
278	0.354569512
279	0.353494831
280	0.35242015
281	0.351070058
282	0.349348383
283	0.347626707
284	0.345905031
285	0.343658766
286	0.339349112
287	0.335039458
288	0.328806307
289	0.321621122
290	0.314387363
291	0.306842736
292	0.295931989
293	0.28732361
294	0.283013956
295	0.278850022
296	0.276697016
297	0.274952026
298	0.273877345
299	0.274289002
300	0.275370969
301	0.278609585
302	0.281959919
303	0.285557976
304	0.289156033
305	0.29275409
306	0.296352147
307	0.300649658
308	0.307123247
309	0.313596835
310	0.320070423
311	0.326573156
312	0.334484509
313	0.342395863
314	0.349870058
315	0.356882809
316	0.36389556
317	0.371005456
318	0.37891681
319	0.386828164
320	0.397216749
321	0.4094414
322	0.421520331
323	0.430150568
324	0.438780805
325	0.447411043
326	0.457945348
327	0.469451115
328	0.480366233
329	0.487271151
330	0.494176069
331	0.501080987
332	0.507985905
333	0.517429257
334	0.527137818
335	0.536846379
336	0.545986634
337	0.554616871
338	0.563247108
339	0.572197927
340	0.583640551
341	0.601397685
342	0.604995742
343	0.608593799
344	0.613855487
345	0.61865573
346	0.621534904
347	0.624414078
348	0.627166962
349	0.629866416
350	0.632565869
351	0.634565869
352	0.635108674
353	0.635651479
354	0.636194284
355	0.635547047
356	0.634831807
357	0.634116567
358	0.633401327
359	0.632686088
360	0.627866416
361	0.622784449
362	0.619013957
363	0.615243465
364	0.611472973
365	0.607265323
366	0.602955669
367	0.595355404
368	0.586340335
369	0.577325266
370	0.568310197
371	0.55928718
372	0.550125067
373	0.540962955
374	0.531800842
375	0.522031564
376	0.511970848
377	0.502216143
378	0.494312075
379	0.486408006
380	0.475443829
381	0.462507581
382	0.455021243
383	0.448015778
384	0.441010314
385	0.431964777
386	0.421185176
387	0.41132361
388	0.400922881
389	0.38690831
390	0.376123853
391	0.368938668
392	0.361753483
393	0.348154212
394	0.33404978
395	0.319675766
396	0.305301753
397	0.293502117
398	0.282722518
399	0.270172427
400	0.24968791
401	0.231862773
402	0.216769876
403	0.205145104
404	0.194365505
405	0.18212871
406	0.16595749
407	0.151979348
408	0.139582262
409	0.127185177
410	0.115465687
411	0.106411406
412	0.097357126
413	0.088302845
414	0.079248565
415	0.07315239
416	0.067117417
417	0.061082445
418	0.055047472
419	0.050551297
420	0.046549736
421	0.042548175
422	0.038546614
423	0.034545052
424	0.030543491
425	0.028363424
426	0.026518511
427	0.024673598
428	0.022828685
429	0.020983772
430	0.019138859
431	0.018443049
432	0.017830506
433	0.017217964
434	0.016605421
435	0.015992879
436	0.015400113
437	0.015763197
438	0.016126282
439	0.016489366
440	0.016852451
441	0.017215535
442	0.018410262
443	0.019646275
444	0.020882289
445	0.022118302
446	0.023354316
447	0.024613228
448	0.026414078
449	0.028214928
450	0.030015778
451	0.031816628
452	0.033617478
453	0.035068602
454	0.03651001
455	0.037951419
456	0.039392828
457	0.040834236
458	0.042275645
459	0.043717053
460	0.045158462
461	0.046599871
462	0.048041279
463	0.049482688
464	0.050924096
465	0.052365505
466	0.053806914
467	0.055248322
468	0.056689731
469	0.05813114
470	0.059572548
471	0.061013957
472	0.062455365
473	0.063896774
474	0.065338183
475	0.066779591
476	0.068221
477	0.069662409
478	0.071103817
479	0.072545226
480	0.073986634
481	0.075428043
482	0.076869452
483	0.07831086
484	0.079752269
485	0.081193677
486	0.082635086
487	0.084076495
488	0.085517903
489	0.086959312
490	0.088400721
491	0.089842129
492	0.091283538
493	0.092724946
494	0.094166355
495	0.095607764
496	0.097049172
497	0.098490581
498	0.09993199
499	0.101373398
500	0.102814807
501	0.104256215
502	0.105697624
503	0.107139033
504	0.108580441
505	0.11002185
506	0.111463259
507	0.112904667
508	0.114346076
509	0.115787484
510	0.117228893
511	0.118670302
512	0.12011171
513	0.121553119
514	0.122994527
515	0.124435936
516	0.125877345
517	0.127318753
518	0.128760162
519	0.130201571
520	0.131642979
521	0.133084388
522	0.134525796
523	0.135967205
524	0.137408614
525	0.138850022
526	0.140291431
527	0.14173284
528	0.143174248
529	0.144615657
530	0.146057065
531	0.147498474
532	0.148939883
533	0.150381291
534	0.1518227
535	0.153264108
536	0.154705517
537	0.156146926
538	0.157588334
539	0.159029743
540	0.160471152
541	0.16191256
542	0.163353969
543	0.164795377
544	0.166236786
545	0.167678195
546	0.169119603
547	0.170561012
548	0.172002421
549	0.173443829
550	0.174885238
551	0.176326646
552	0.177768055
553	0.179209464
554	0.180650872
555	0.182092281
556	0.183533689
557	0.184975098
558	0.186416507
559	0.18736004
560	0.187902845
561	0.188445651
562	0.189177891
563	0.19079902
564	0.192420149
565	0.194041279
566	0.195805699
567	0.197606549
568	0.199407399
569	0.201208249
570	0.203009099
571	0.205072244
572	0.207232535
573	0.209392827
574	0.211553118
575	0.21371341
576	0.215873701
577	0.218033993
578	0.219931989
579	0.221822699
580	0.22371341
581	0.22560412
582	0.227494831
583	0.229385541
584	0.231148018
585	0.23244565
586	0.233743283
587	0.235040915
588	0.236338547
589	0.237421972
590	0.238503939
591	0.239585906
592	0.240667873
593	0.24174984
594	0.242831807
595	0.243913774
596	0.244995742
597	0.24572361
598	0.246158583
599	0.246593556
600	0.247028529
601	0.24732361
602	0.247327253
603	0.247330896
604	0.247334539
605	0.247338182
606	0.247341825
607	0.247345468
608	0.247349111
609	0.247352754
610	0.247356397
611	0.24736004
612	0.247363683
613	0.247367327
614	0.24737097
615	0.246675159
616	0.245816143
617	0.244957126
618	0.24409811
619	0.243534904
620	0.243179106
621	0.242823307
622	0.242467509
623	0.24211171
624	0.241568905
625	0.240853665
626	0.240138425
627	0.239423186
628	0.238707946
629	0.237760249
630	0.236531521
631	0.235302793
632	0.234074066
633	0.232845338
634	0.231616611
635	0.230276859
636	0.228842736
637	0.227408613
638	0.225974491
639	0.224540368
640	0.222911953
641	0.22106704
642	0.219222127
643	0.217377214
644	0.215532302
645	0.213687389
646	0.21144979
647	0.208904667
648	0.206359544
649	0.20381442
650	0.201269297
651	0.198724173
652	0.19617905
653	0.193633927
654	0.191088803
655	0.188399853
656	0.185322569
657	0.182245286
658	0.179168003
659	0.17609072
660	0.173013436
661	0.169715492
662	0.166022023
663	0.162328555
664	0.158635086
665	0.154941617
666	0.151248148
667	0.147692072
668	0.144306696
669	0.14092132
670	0.137535944
671	0.134150568
672	0.130765192
673	0.127215361
674	0.123521893
675	0.119828424
676	0.116134956
677	0.112441487
678	0.108748019
679	0.105174248
680	0.101673337
681	0.098172426
682	0.094671516
683	0.091170605
684	0.087669694
685	0.084168783
686	0.080901023
687	0.077669694
688	0.074438364
689	0.071207035
690	0.067975705
691	0.064744376
692	0.061593752
693	0.059108955
694	0.056624157
695	0.054139359
696	0.051654562
697	0.049169764
698	0.046684967
699	0.044200169
700	0.041715371
701	0.039230574
702	0.036745776
703	0.034326646
704	0.032353361
705	0.030380077
706	0.028406792
707	0.026433507
708	0.024460222
709	0.022486938
710	0.020513653
711	0.018540368
712	0.016567084
713	0.014593799
714	0.013415679
715	0.012242968
716	0.011070257
717	0.009897547
718	0.008724836
719	0.007552125
720	0.006379414
721	0.005206704
722	0.004033993
723	0.003406603
724	0.003009925
725	0.002613247
726	0.00221657
727	0.001819892
728	0.001423215
729	0.001026537
730	0.00062986
731	0.000233182
732	0
733	0
734	0
735	0
736	0
737	0
738	0
739	0
740	0
741	0
742	0
743	0
744	0
745	0
746	0
747	0
748	0
749	0
750	0
751	0
752	0
753	0
754	0
755	0
756	0
757	0
758	0
759	0
760	0
761	0
762	0
763	0
764	0
765	0
766	0
767	0
768	0
769	0
770	0
771	0
772	0
773	0
774	0
775	0
776	0
777	0
778	0
779	0
780	0
781	0
782	0
783	0
784	0
785	0
786	0
787	0
788	0
789	0
790	0
791	0
792	0
793	0
794	0
795	0
796	0
797	0
798	0
799	0
800	0
801	0
802	0
803	0
804	0
805	0
806	0
807	0
808	0
809	0
810	0
811	0
812	0
813	0
814	0
815	0
816	0
817	0
818	0
819	0
820	0
821	0
822	0
823	0
824	0
825	0
826	0
827	0
828	0
829	0
830	0
831	0
832	0
833	0
834	0
835	0
836	0
837	0
838	0
839	0
840	0
841	0
842	0
843	0
844	0
845	0
846	0
847	0
848	0
849	0
850	0
851	0
852	0
853	0
854	0
